"question","answer"
"Where are my examinations held?","Examination venues are published on your personal examination timetable in studentConnect. On campus venues are listed online along with links to the University map. 
 
If the venue on your timetable is Online LMS or Online LMS MS Team, please see the information on our web page. If your venue says Examination Organised by School, please see the information on your LMS."
"Does the UWA Student Guild charge a membership fee?","Guild membership is FREE!
You can choose to be a member of the UWA Student Guild by selecting 'Yes' to Guild membership, when you complete your online enrolment on studentConnect.
If you decide not to be a member of the Guild, you may revoke your Guild membership anytime, by selecting the option under 'Guild membership' in the Personal Details menu on studentConnect. Your name will then be removed from the Guild membership list."
"Does UWA Sport charge a membership fee?","Check the UWA Sports website for full details about membership."
"I have an Administrative Encumbrance. What should I do?","You can view your encumbrances and further information on studentConnect.
Financial encumbrances: You must pay your outstanding debt in order to have the encumbrance removed from your student record. Outstanding debts include unpaid fees such as your Student Services and Amenities Fee (SSAF), tuition fees, academic transcript fees, library fines, field trips or other unpaid fees and charges. To make payment for tuition and SSAF fees, log into studentConnect and make a payment under the Finance section. To make payments for other financial encumbrances visit the Online Payment Portal.
Other encumbrances: If your encumbrance doesn't relate to an outstanding fee, and you haven't received an email with information of how to clear it, or if you're unsure how to get the encumbrance cleared please Email Us."
"What happens if I have an Administrative Encumbrance?","If you have any outstanding debt(s) with the University or any administrative encumbrances on your record, you will be unable to:

Order any official documents from Student Administration,
View your results on studentConnect,
Re-enrol on studentConnect, and
Apply to, confirm or attend graduation.

Outstanding debts may include unpaid fees for tuition, student services and amenities (SSAF), late payment or enrolment, academic documents, campus card, library fines, field trips, or other unpaid fees and charges.
See: Paying Outstanding Debts to the University"
"How do I pay my outstanding debts to the University?","Your payment method options are determined by the type of debt:
 
Outstanding tuition fees or Student Services & Amenities Fees (SSAF)
You must pay these fees via the normal payment methods listed on your Statement of Account on studentConnect.
 
Your personal payment details and options can be viewed on studentConnect:

Log on to studentConnect
Select 'Statement of account' under the 'Finance' option
Select the relevant 'Fee Calendar' from the drop down menu
Click 'Show'
Select 'Pay Now' - Visa or MasterCard or Western Union

Other payment methods are also available.
 
Please allow 3-5 working days for clearance of your payment and removal of your encumbrance.
 
Late addition of a unit, Late cross-institutional application fee, Late transfer application fee and Campus Card replacement
Pay online through the payment portal with Visa or MasterCard.
 
If you have difficulty paying online and for all other debts
Payments can be made at Student Central by cheque, credit card (Visa or MasterCard) or EFTPOS."
"When will I receive my electronic Statement of Account (eSOA) for my Student Services and Amenities Fee (SSAF)?","Your electronic Statement of Account (eSOA) for the Student Services and Amenities Fees (SSAF) is issued in two or three instalments:

Semester-based enrolments will be issued a SSAF eSOA in February and July
Trimester-based enrolments will be issued a SSAF eSOA in January, April and July

Your eSOA (SSAF) is only available on studentConnect.

You will need to retrieve your eSOA by logging in to studentConnect with your student ID and Pheme password
Under the FINANCE section in the left hand menu, click on 'Statement of Account (eSOA)'
You will be able to select the eSOA for the Student Services and Amenities Fees (SSAF) from a drop down Fee Calendar menu
Click 'Pay Now'
Select your 'Payment method' - Visa or MasterCard or Western Union


Other payment methods are available.

Please allow 3 - 5 working days for your payment to be processed and to reflect on your studentConnect under 'Received Payments'."
"I was awarded academic credit/advanced standing, but I no longer need it. What can I do?","Contact your Student Advising Office via Email Us to check your academic credit/advanced standing. If you do not need the credit in order to complete your course, your Student Advising Office may be able to remove it for you."
"Who is my Student Adviser?","Your Student Adviser is a member of the Student Experience team dedicated to providing course and enrolment advice. Your allocated Student Advising Office is displayed on studentConnect when you login.
The Student Advising Offices are located across campus with varying opening times."
"How do I know if I have completed all the requirements for my course?","Login to studentConnect to check your completion status. If you have completed the requirements for your course, the completion date will be recorded.
If you believe you have completed your course and your completion date is not recorded contact your Student Advising Office.
Specific information relating to Progress Status is available online."
